date,time,open,high,low,close,daily_poc,h4_poc,weekly_poc,adx_14,di_plus_14,di_minus_14
2019.01.07,00:00,6436.459,6445.969,6432.47,6434.759,6433.27,6436.459,6133.969,37.84,36.13,12.0
2019.01.07,01:00,6434.759,6437.469,6416.97,6434.769,6433.27,6436.459,6133.969,37.91,34.35,15.13
2019.01.07,02:00,6434.769,6448.97,6428.26,6442.759,6433.27,6436.459,6133.969,38.22,35.43,14.36
2019.01.07,03:00,6442.47,6443.269,6407.36,6408.97,6433.27,6436.459,6133.969,37.5,32.36,18.17
2019.01.07,04:00,6408.87,6420.769,6396.259,6402.27,6433.27,6408.97,6133.969,36.33,30.41,19.8
2019.01.07,05:00,6402.27,6414.259,6397.27,6407.26,6433.27,6408.97,6133.969,35.25,29.11,18.95
2019.01.07,06:00,6407.26,6408.96,6385.56,6397.359,6433.27,6408.97,6133.969,33.7,27.37,20.81
2019.01.07,07:00,6397.359,6417.96,6392.259,6414.27,6433.27,6408.97,6133.969,32.57,27.88,19.43
2019.01.07,08:00,6414.27,6418.96,6397.07,6401.77,6433.27,6397.359,6133.969,31.55,26.54,18.32
2019.01.07,09:00,6401.77,6444.869,6401.369,6426.97,6433.27,6397.359,6133.969,31.42,30.14,16.33
2019.01.07,10:00,6425.569,6471.07,6408.969,6464.269,6433.27,6397.359,6133.969,31.96,31.87,13.99
2019.01.07,11:00,6464.06,6507.57,6450.07,6505.76,6433.27,6397.359,6133.969,33.19,35.82,12.24
2019.01.07,12:00,6505.76,6516.47,6491.07,6510.86,6433.27,6401.77,6133.969,34.47,35.78,11.55
2019.01.07,13:00,6510.97,6522.47,6490.869,6495.869,6433.27,6401.77,6133.969,35.77,34.6,10.74
2019.01.07,14:00,6495.47,6504.369,6468.859,6472.47,6433.27,6401.77,6133.969,35.84,31.9,14.74
2019.01.07,15:00,6472.47,6506.459,6471.27,6488.069,6433.27,6401.77,6133.969,35.96,29.9,13.61
2019.01.07,16:00,6488.069,6492.359,6480.56,6483.26,6433.27,6472.47,6133.969,36.06,29.1,13.24
2019.01.07,18:00,6490.059,6492.97,6476.96,6481.469,6433.27,6472.47,6133.969,35.96,27.99,13.59
2019.01.07,19:00,6481.469,6501.57,6481.469,6499.77,6433.27,6472.47,6133.969,36.1,28.71,12.93
2019.01.07,20:00,6499.77,6503.269,6486.57,6496.359,6433.27,6481.469,6133.969,36.28,27.94,12.39
2019.01.07,21:00,6496.359,6514.27,6493.96,6508.06,6433.27,6481.469,6133.969,36.74,29.3,11.74
2019.01.07,22:00,6508.469,6512.469,6503.96,6504.759,6433.27,6481.469,6133.969,37.17,28.63,11.47
